artist,tier,query,wikidata_id,wikidata_label,wikidata_description,x_username,x_url,x_usernames_all,instagram_username,instagram_url,instagram_usernames_all,status,source
&TEAM,core,&TEAM,Q112834233,&TEAM,Japanese boy band,andTEAMofficial,https://x.com/andTEAMofficial,andTEAMofficial;andTEAM_members,andteam_official,https://www.instagram.com/andteam_official/,andteam_official,ok_both,https://www.wikidata.org/wiki/Q112834233
(G)I-DLE,core,(G)I-DLE,Q51885404,I-dle,South Korean girl group,official_i_dle,https://x.com/official_i_dle,official_i_dle;i_dle_JP,i_dle_official,https://www.instagram.com/i_dle_official/,i_dle_official,ok_both,https://www.wikidata.org/wiki/Q51885404
aespa,core,aespa,Q100877982,Aespa,South Korean girl group,aespa_official,https://x.com/aespa_official,aespa_official,aespa_official,https://www.instagram.com/aespa_official/,aespa_official,ok_both,https://www.wikidata.org/wiki/Q100877982
ATEEZ,core,ATEEZ,Q59793088,Ateez,South Korean boy group,ATEEZofficial,https://x.com/ATEEZofficial,ATEEZofficial,ateez_official_,https://www.instagram.com/ateez_official_/,ateez_official_,ok_both,https://www.wikidata.org/wiki/Q59793088
AtHeart,core,AtHeart k-pop group,,,,,,,,,,not_found,
BABYMONSTER,core,BABYMONSTER,Q115967938,Babymonster,South Korean girl group,YGBABYMONSTER_,https://x.com/YGBABYMONSTER_,YGBABYMONSTER_,babymonster_ygofficial,https://www.instagram.com/babymonster_ygofficial/,babymonster_ygofficial,ok_both,https://www.wikidata.org/wiki/Q115967938
BLACKPINK,core,BLACKPINK,Q25056945,Blackpink,South Korean girl group,ygofficialblink,https://x.com/ygofficialblink,ygofficialblink;blackpink,blackpinkofficial,https://www.instagram.com/blackpinkofficial/,blackpinkofficial;blackpinkofficial,ok_both,https://www.wikidata.org/wiki/Q25056945
BOYNEXTDOOR,core,BOYNEXTDOOR,Q118178306,BoyNextDoor,South Korean k-pop group,BOYNEXTDOOR_KOZ,https://x.com/BOYNEXTDOOR_KOZ,BOYNEXTDOOR_KOZ;BOYNEXTDOOR_twt,boynextdoor_official,https://www.instagram.com/boynextdoor_official/,boynextdoor_official,ok_both,https://www.wikidata.org/wiki/Q118178306
BTOB,core,BTOB,Q491067,BtoB,South Korean musical group; boy band,OFFICIALBTOB,https://x.com/OFFICIALBTOB,OFFICIALBTOB;BTOBOFFICIAL_JP,official_btob,https://www.instagram.com/official_btob/,official_btob,ok_both,https://www.wikidata.org/wiki/Q491067
BTS,core,BTS,Q13580495,BTS,South Korean musical group; boy band,BTS_twt,https://x.com/BTS_twt,bts_bighit;BTS_jp_official;BTS_twt,bts.bighitofficial,https://www.instagram.com/bts.bighitofficial/,bts.bighitofficial,ok_both,https://www.wikidata.org/wiki/Q13580495
CRAVITY,core,CRAVITY,Q90628571,Cravity,South Korean boy band,CRAVITY_twt,https://x.com/CRAVITY_twt,CRAVITY_twt;CRAVITYstarship,cravity_official,https://www.instagram.com/cravity_official/,cravity_official,ok_both,https://www.wikidata.org/wiki/Q90628571
DAY6,core,DAY6,Q20898046,Day6,South Korean musical group; pop-rock band,day6official,https://x.com/day6official,day6official,day6kilogram,https://www.instagram.com/day6kilogram/,day6kilogram,ok_both,https://www.wikidata.org/wiki/Q20898046
Dreamcatcher,core,Dreamcatcher,Q20684822,Dreamcatcher,South Korean musical group; girl band,hf_dreamcatcher,https://x.com/hf_dreamcatcher,hf_dreamcatcher;jp_dreamcatcher,hf_dreamcatcher,https://www.instagram.com/hf_dreamcatcher/,hf_dreamcatcher;goodnight_dreamcatcher,ok_both,https://www.wikidata.org/wiki/Q20684822
ENHYPEN,core,ENHYPEN,Q99479445,Enhypen,South Korean boy band,ENHYPEN,https://x.com/ENHYPEN,ENHYPEN;ENHYPEN_JP;ENHYPEN_members,enhypen,https://www.instagram.com/enhypen/,enhypen,ok_both,https://www.wikidata.org/wiki/Q99479445
EVNNE,core,EVNNE,Q121493651,Evnne,South Korean boy band,EVNNE_official,https://x.com/EVNNE_official,EVNNE_official,evnne_official,https://www.instagram.com/evnne_official/,evnne_official,ok_both,https://www.wikidata.org/wiki/Q121493651
EXO,core,EXO,Q494717,EXO,South Korean boy band,weareoneEXO,https://x.com/weareoneEXO,weareoneEXO;exo_news_jp;EXO_NEWS_JP,weareone.exo,https://www.instagram.com/weareone.exo/,weareone.exo,ok_both,https://www.wikidata.org/wiki/Q494717
FIFTY FIFTY,core,FIFTY FIFTY,Q116731010,Fifty Fifty,South Korean girl group,we_fiftyfifty,https://x.com/we_fiftyfifty,we_fiftyfifty,we_fiftyfifty,https://www.instagram.com/we_fiftyfifty/,we_fiftyfifty,ok_both,https://www.wikidata.org/wiki/Q116731010
fromis_9,core,fromis_9,Q41398331,Fromis 9,South Korean girl group,realfromis_9,https://x.com/realfromis_9,realfromis_9;fromis9_japan,officialfromis_9,https://www.instagram.com/officialfromis_9/,officialfromis_9,ok_both,https://www.wikidata.org/wiki/Q41398331
Hearts2Hearts,core,Hearts2Hearts k-pop,,,,,,,,,,not_found,
ifeye,core,ifeye k-pop,,,,,,,,,,not_found,
INFINITE,core,INFINITE,Q50598,INFINITE,South Korean pop boy band,INFINITE_UM,https://x.com/INFINITE_UM,INFINITE_UM,official_ifnt_,https://www.instagram.com/official_ifnt_/,official_ifnt_,ok_both,https://www.wikidata.org/wiki/Q50598
ITZY,core,ITZY,Q60732823,Itzy,South Korean girl group,ITZYofficial,https://x.com/ITZYofficial,ITZYofficial;JYPEITZY_JP,itzy.all.in.us,https://www.instagram.com/itzy.all.in.us/,itzy.all.in.us;itzyofficial_jp,ok_both,https://www.wikidata.org/wiki/Q60732823
IVE,core,IVE,Q109375061,Ive,South Korean girl group,IVE_twt,https://x.com/IVE_twt,IVE_twt;ivestarship;IVEstarship_jp,ivestarship,https://www.instagram.com/ivestarship/,ivestarship,ok_both,https://www.wikidata.org/wiki/Q109375061
KARD,core,KARD,Q27989963,KARD,South Korean co-ed music group,kard_official,https://x.com/kard_official,kard_official,official_kard,https://www.instagram.com/official_kard/,official_kard,ok_both,https://www.wikidata.org/wiki/Q27989963
Kep1er,core,Kep1er,Q126946056,Kep1er discography,,,,,,,,no_social,https://www.wikidata.org/wiki/Q126946056
KickFlip,core,KickFlip k-pop,,,,,,,,,,not_found,
KiiiKiii,core,KiiiKiii kpop,,,,,,,,,,not_found,
