artist,tier,parent_group,x_url,x_source,instagram_url,instagram_source,completeness,original_status,wikidata_id,wikidata_source,note
&TEAM,core,,https://x.com/andTEAMofficial,wikidata_direct,https://www.instagram.com/andteam_official/,wikidata_direct,both,ok_both,Q112834233,https://www.wikidata.org/wiki/Q112834233,
(G)I-DLE,core,,https://x.com/official_i_dle,wikidata_direct,https://www.instagram.com/i_dle_official/,wikidata_direct,both,ok_both,Q51885404,https://www.wikidata.org/wiki/Q51885404,
aespa,core,,https://x.com/aespa_official,wikidata_direct,https://www.instagram.com/aespa_official/,wikidata_direct,both,ok_both,Q100877982,https://www.wikidata.org/wiki/Q100877982,
ATEEZ,core,,https://x.com/ATEEZofficial,wikidata_direct,https://www.instagram.com/ateez_official_/,wikidata_direct,both,ok_both,Q59793088,https://www.wikidata.org/wiki/Q59793088,
AtHeart,core,,https://x.com/atheartofficial,manual_news_source,https://www.instagram.com/atheart__official/,manual_news_source,both,not_found,,,
BABYMONSTER,core,,https://x.com/YGBABYMONSTER_,wikidata_direct,https://www.instagram.com/babymonster_ygofficial/,wikidata_direct,both,ok_both,Q115967938,https://www.wikidata.org/wiki/Q115967938,
BLACKPINK,core,,https://x.com/blackpink,wikidata_direct,https://www.instagram.com/blackpinkofficial/,wikidata_direct,both,ok_both,Q25056945,https://www.wikidata.org/wiki/Q25056945,
BOYNEXTDOOR,core,,https://x.com/BOYNEXTDOOR_KOZ,wikidata_direct,https://www.instagram.com/boynextdoor_official/,wikidata_direct,both,ok_both,Q118178306,https://www.wikidata.org/wiki/Q118178306,
BTOB,core,,https://x.com/OFFICIALBTOB,wikidata_direct,https://www.instagram.com/official_btob/,wikidata_direct,both,ok_both,Q491067,https://www.wikidata.org/wiki/Q491067,
BTS,core,,https://x.com/BTS_twt,wikidata_direct,https://www.instagram.com/bts.bighitofficial/,wikidata_direct,both,ok_both,Q13580495,https://www.wikidata.org/wiki/Q13580495,
CRAVITY,core,,https://x.com/CRAVITY_twt,wikidata_direct,https://www.instagram.com/cravity_official/,wikidata_direct,both,ok_both,Q90628571,https://www.wikidata.org/wiki/Q90628571,
DAY6,core,,https://x.com/day6official,wikidata_direct,https://www.instagram.com/day6kilogram/,wikidata_direct,both,ok_both,Q20898046,https://www.wikidata.org/wiki/Q20898046,
Dreamcatcher,core,,https://x.com/hf_dreamcatcher,wikidata_direct,https://www.instagram.com/hf_dreamcatcher/,wikidata_direct,both,ok_both,Q20684822,https://www.wikidata.org/wiki/Q20684822,
ENHYPEN,core,,https://x.com/ENHYPEN,wikidata_direct,https://www.instagram.com/enhypen/,wikidata_direct,both,ok_both,Q99479445,https://www.wikidata.org/wiki/Q99479445,
EVNNE,core,,https://x.com/EVNNE_official,wikidata_direct,https://www.instagram.com/evnne_official/,wikidata_direct,both,ok_both,Q121493651,https://www.wikidata.org/wiki/Q121493651,
EXO,core,,https://x.com/weareoneEXO,wikidata_direct,https://www.instagram.com/weareone.exo/,wikidata_direct,both,ok_both,Q494717,https://www.wikidata.org/wiki/Q494717,
FIFTY FIFTY,core,,https://x.com/we_fiftyfifty,wikidata_direct,https://www.instagram.com/we_fiftyfifty/,wikidata_direct,both,ok_both,Q116731010,https://www.wikidata.org/wiki/Q116731010,
fromis_9,core,,https://x.com/realfromis_9,wikidata_direct,https://www.instagram.com/officialfromis_9/,wikidata_direct,both,ok_both,Q41398331,https://www.wikidata.org/wiki/Q41398331,
Hearts2Hearts,core,,https://x.com/Hearts2Hearts,manual_sm_artist_page,https://www.instagram.com/hearts2hearts/,manual_sm_artist_page,both,not_found,,,
ifeye,core,,https://x.com/ifeye_official,manual_news_source,https://www.instagram.com/ifeye.official/,manual_news_source,both,not_found,,,
INFINITE,core,,https://x.com/INFINITE_UM,wikidata_direct,https://www.instagram.com/official_ifnt_/,wikidata_direct,both,ok_both,Q50598,https://www.wikidata.org/wiki/Q50598,
ITZY,core,,https://x.com/ITZYofficial,wikidata_direct,https://www.instagram.com/itzy.all.in.us/,wikidata_direct,both,ok_both,Q60732823,https://www.wikidata.org/wiki/Q60732823,
IVE,core,,https://x.com/IVE_twt,wikidata_direct,https://www.instagram.com/ivestarship/,wikidata_direct,both,ok_both,Q109375061,https://www.wikidata.org/wiki/Q109375061,
KARD,core,,https://x.com/kard_official,wikidata_direct,https://www.instagram.com/official_kard/,wikidata_direct,both,ok_both,Q27989963,https://www.wikidata.org/wiki/Q27989963,
Kep1er,core,,https://x.com/official_kep1er,manual_kprofiles,https://www.instagram.com/official.kep1er/,manual_kprofiles,both,no_social,Q126946056,https://www.wikidata.org/wiki/Q126946056,
KickFlip,core,,https://x.com/KickFlip_jype,manual_news_source,https://www.instagram.com/kickflip_jype/,manual_news_source,both,not_found,,,
KiiiKiii,core,,https://x.com/We_KiiiKiii,manual_news_source,https://www.instagram.com/we_kiiikiii/,manual_news_source,both,not_found,,,
KISS OF LIFE,core,,https://x.com/KISSOFLIFE_S2,wikidata_direct,https://www.instagram.com/kissoflife_s2/,wikidata_direct,both,ok_both,Q118314702,https://www.wikidata.org/wiki/Q118314702,
