queue_key,group,slug,entity_type,entity_tier,priority_tier,high_impact,entity_cohort,latest_release_date,has_active_upcoming,missing_fields,identity_critical_missing_fields,candidate_representative_image,candidate_official_youtube,candidate_official_x,candidate_official_instagram,recommended_action
5b7c7bae-798a-5cee-be32-c356ca42235a,ALL(H)OURS,all-h-ours,group,longtail,tier_1,true,latest,2025-09-09,true,entities.representative_image | entities.debut_year,entities.representative_image,false,false,true,true,"identity-critical field를 우선 보강하고, agency/debut year는 provenance가 약하면 unresolved로 유지합니다."
d727b90c-5193-5804-a604-85ab115b2761,AtHeart,atheart,group,core,tier_1,true,latest,2026-02-26,true,entities.representative_image,entities.representative_image,false,true,true,true,"identity-critical field를 우선 보강하고, agency/debut year는 provenance가 약하면 unresolved로 유지합니다."
4f48276e-97a0-5669-bf0d-eb59a27f1794,EVNNE,evnne,group,core,tier_1,true,latest,2025-08-04,false,entities.representative_image | entities.debut_year,entities.representative_image,false,false,true,true,"identity-critical field를 우선 보강하고, agency/debut year는 provenance가 약하면 unresolved로 유지합니다."
021ae6a8-581e-5262-b7ca-1ce913d6e28e,Hearts2Hearts,hearts2hearts,group,core,tier_1,true,latest,2026-02-20,true,entities.representative_image,entities.representative_image,false,false,true,true,"identity-critical field를 우선 보강하고, agency/debut year는 provenance가 약하면 unresolved로 유지합니다."
2b7536f5-f329-53d4-85b0-9947289894b5,ifeye,ifeye,group,core,tier_1,true,latest,2025-07-16,false,entities.representative_image | entities.agency_name,entities.representative_image,false,false,true,true,"identity-critical field를 우선 보강하고, agency/debut year는 provenance가 약하면 unresolved로 유지합니다."
b3b4a669-1c1d-5864-ad41-63c5f7fbf008,Kep1er,kep1er,group,core,tier_1,true,latest,2025-08-19,false,entities.representative_image | entities.debut_year,entities.representative_image,false,false,true,true,"identity-critical field를 우선 보강하고, agency/debut year는 provenance가 약하면 unresolved로 유지합니다."
d583db70-a1c7-52b4-bca2-8c02dd68bbb3,KickFlip,kickflip,group,core,tier_1,true,latest,2026-01-20,true,entities.representative_image,entities.representative_image,false,false,true,true,"identity-critical field를 우선 보강하고, agency/debut year는 provenance가 약하면 unresolved로 유지합니다."
9bc0132b-4612-5911-a39b-f50eb8be9f25,KiiiKiii,kiiikiii,group,core,tier_1,true,latest,2026-01-25,true,entities.representative_image | entities.agency_name,entities.representative_image,false,false,true,true,"identity-critical field를 우선 보강하고, agency/debut year는 provenance가 약하면 unresolved로 유지합니다."
144fd0d8-5eae-5a1f-8cfb-2592b3572d71,NCT WISH,nct-wish,unit,core,tier_1,true,latest,2026-02-27,false,entities.representative_image | entities.debut_year,entities.representative_image,false,false,true,true,"identity-critical field를 우선 보강하고, agency/debut year는 provenance가 약하면 unresolved로 유지합니다."
2a0db4d6-5c42-5145-bbdb-fa006fe3f504,POW,pow,group,longtail,tier_1,true,latest,2025-09-29,true,entities.representative_image | entities.debut_year,entities.representative_image,false,false,true,true,"identity-critical field를 우선 보강하고, agency/debut year는 provenance가 약하면 unresolved로 유지합니다."
