queue_key,service_type,group,slug,entity_type,entity_tier,priority_tier,high_impact,entity_cohort,release_cohort,release_title,release_date,release_year,stream,release_kind,gap_status,confidence_bucket,current_status,current_url,provenance,attempted_methods_count,review_reason,recommended_action,suggested_search_query,missing_mv_allowlist,mv_allowlist_urls
cbc23da6-08cd-5cc9-991c-a3638f493d45:spotify,spotify,YENA,yena,solo,unknown,tier_1,true,latest,latest,LOVE CATCHER,2026-03-11,2026,album,ep,no_link,explicit_absence,no_link,,,0,canonical link가 explicit no_link 상태로 남아 있습니다.,현재 spotify canonical 링크가 없는 상태로 분류돼 있습니다. recent/high-impact release부터 수동 큐레이션 여부를 다시 판단합니다.,,false,
d5137bf0-b49d-59f6-815a-5b591cfb966b:spotify,spotify,NMIXX,nmixx,group,core,tier_1,true,latest,latest,TIC TIC,2026-02-26,2026,song,single,no_link,explicit_absence,no_link,,,7,canonical link가 explicit no_link 상태로 남아 있습니다.,현재 spotify canonical 링크가 없는 상태로 분류돼 있습니다. recent/high-impact release부터 수동 큐레이션 여부를 다시 판단합니다.,,false,
c339f501-52fe-599d-8d2d-bf5694ae4de4:spotify,spotify,IVE,ive,group,core,tier_1,true,latest,latest,REVIVE+,2026-02-23,2026,album,album,no_link,explicit_absence,no_link,,,7,canonical link가 explicit no_link 상태로 남아 있습니다.,현재 spotify canonical 링크가 없는 상태로 분류돼 있습니다. recent/high-impact release부터 수동 큐레이션 여부를 다시 판단합니다.,,false,
7c27ebee-3b8e-56c4-8b4c-b58f040b16b3:spotify,spotify,STAYC,stayc,group,core,tier_1,true,latest,latest,STAY ALIVE,2026-02-11,2026,album,album,no_link,explicit_absence,no_link,,,7,canonical link가 explicit no_link 상태로 남아 있습니다.,현재 spotify canonical 링크가 없는 상태로 분류돼 있습니다. recent/high-impact release부터 수동 큐레이션 여부를 다시 판단합니다.,,false,
78bb2629-2cd8-5f57-aaf1-a029b271ae8f:spotify,spotify,IVE,ive,group,core,tier_1,true,latest,latest,BANG BANG,2026-02-09,2026,song,single,no_link,explicit_absence,no_link,,,7,canonical link가 explicit no_link 상태로 남아 있습니다.,현재 spotify canonical 링크가 없는 상태로 분류돼 있습니다. recent/high-impact release부터 수동 큐레이션 여부를 다시 판단합니다.,,false,
0f9b4a68-5b21-554f-bc5e-11c41291becf:spotify,spotify,tripleS,triples,group,core,tier_1,true,latest,latest,トキメティック,2026-02-05,2026,song,single,no_link,explicit_absence,no_link,,,7,canonical link가 explicit no_link 상태로 남아 있습니다.,현재 spotify canonical 링크가 없는 상태로 분류돼 있습니다. recent/high-impact release부터 수동 큐레이션 여부를 다시 판단합니다.,,false,
77075486-543a-54ea-a46c-03f6b1c02fc2:spotify,spotify,H1-KEY,h1-key,group,longtail,tier_1,true,latest,latest,세상은 영화 같지 않더라,2026-01-05,2026,song,single,no_link,explicit_absence,no_link,,,7,canonical link가 explicit no_link 상태로 남아 있습니다.,현재 spotify canonical 링크가 없는 상태로 분류돼 있습니다. recent/high-impact release부터 수동 큐레이션 여부를 다시 판단합니다.,,false,
8659282e-bde9-5b1f-9044-9d53573e32f2:spotify,spotify,UNIS,unis,group,core,tier_1,true,latest,latest,幸せになんかならないでね,2025-12-17,2025,song,single,no_link,explicit_absence,no_link,,,7,canonical link가 explicit no_link 상태로 남아 있습니다.,현재 spotify canonical 링크가 없는 상태로 분류돼 있습니다. recent/high-impact release부터 수동 큐레이션 여부를 다시 판단합니다.,,false,
e1fc5c8d-5c31-50d3-ae7f-e264ef39b2c5:spotify,spotify,EXO,exo,group,core,tier_1,true,latest,latest,I'm Home,2025-12-13,2025,song,single,no_link,explicit_absence,no_link,,,7,canonical link가 explicit no_link 상태로 남아 있습니다.,현재 spotify canonical 링크가 없는 상태로 분류돼 있습니다. recent/high-impact release부터 수동 큐레이션 여부를 다시 판단합니다.,,false,
150ae4c7-0b61-536c-84c5-bc3372e02fe4:spotify,spotify,RESCENE,rescene,group,core,tier_1,true,latest,latest,lip bomb,2025-11-25,2025,album,ep,no_link,explicit_absence,no_link,,,7,canonical link가 explicit no_link 상태로 남아 있습니다.,현재 spotify canonical 링크가 없는 상태로 분류돼 있습니다. recent/high-impact release부터 수동 큐레이션 여부를 다시 판단합니다.,,false,
58eb7c9f-2b3d-5c5a-878b-8f330202567d:spotify,spotify,RIIZE,riize,group,core,tier_1,true,latest,latest,Fame,2025-11-24,2025,song,single,no_link,explicit_absence,no_link,,,7,canonical link가 explicit no_link 상태로 남아 있습니다.,현재 spotify canonical 링크가 없는 상태로 분류돼 있습니다. recent/high-impact release부터 수동 큐레이션 여부를 다시 판단합니다.,,false,
a472b496-9536-50b4-98ac-0a193859ca60:spotify,spotify,ATEEZ,ateez,group,core,tier_1,true,latest,latest,Choose,2025-11-17,2025,song,single,no_link,explicit_absence,no_link,,,7,canonical link가 explicit no_link 상태로 남아 있습니다.,현재 spotify canonical 링크가 없는 상태로 분류돼 있습니다. recent/high-impact release부터 수동 큐레이션 여부를 다시 판단합니다.,,false,
1c084f42-338d-563c-a7fd-a8dd6de096f9:spotify,spotify,PLAVE,plave,group,core,tier_1,true,latest,latest,PLBBUU,2025-11-10,2025,song,single,no_link,explicit_absence,no_link,,,7,canonical link가 explicit no_link 상태로 남아 있습니다.,현재 spotify canonical 링크가 없는 상태로 분류돼 있습니다. recent/high-impact release부터 수동 큐레이션 여부를 다시 판단합니다.,,false,
23c8aafe-e6f1-5c32-ace9-e5f1e2bb1ac0:spotify,spotify,RESCENE,rescene,group,core,tier_1,true,latest,latest,Heart Drop,2025-11-06,2025,song,single,no_link,explicit_absence,no_link,,,7,canonical link가 explicit no_link 상태로 남아 있습니다.,현재 spotify canonical 링크가 없는 상태로 분류돼 있습니다. recent/high-impact release부터 수동 큐레이션 여부를 다시 판단합니다.,,false,
feaa7d7b-778b-5e1f-b348-c4e242684264:spotify,spotify,Stray Kids,stray-kids,group,core,tier_1,true,latest,latest,In The Dark,2025-11-06,2025,song,single,no_link,explicit_absence,no_link,,,7,canonical link가 explicit no_link 상태로 남아 있습니다.,현재 spotify canonical 링크가 없는 상태로 분류돼 있습니다. recent/high-impact release부터 수동 큐레이션 여부를 다시 판단합니다.,,false,
37b6f313-c686-5e30-a467-3bc5350a4ee8:spotify,spotify,KiiiKiii,kiiikiii,group,core,tier_1,true,latest,latest,To Me From Me,2025-11-04,2025,song,single,no_link,explicit_absence,no_link,,,7,canonical link가 explicit no_link 상태로 남아 있습니다.,현재 spotify canonical 링크가 없는 상태로 분류돼 있습니다. recent/high-impact release부터 수동 큐레이션 여부를 다시 판단합니다.,,false,
c908396e-a924-5a72-992b-6195eac6ee09:spotify,spotify,LE SSERAFIM,le-sserafim,group,core,tier_1,true,latest,latest,Pearlies (My oyster is the world),2025-10-24,2025,song,single,no_link,explicit_absence,no_link,,,7,canonical link가 explicit no_link 상태로 남아 있습니다.,현재 spotify canonical 링크가 없는 상태로 분류돼 있습니다. recent/high-impact release부터 수동 큐레이션 여부를 다시 판단합니다.,,false,
0b478ed9-0e76-5156-8b0b-3738fbf72311:spotify,spotify,MEOVV,meovv,group,core,tier_1,true,latest,latest,BURNING UP,2025-10-14,2025,song,single,no_link,explicit_absence,no_link,,,7,canonical link가 explicit no_link 상태로 남아 있습니다.,현재 spotify canonical 링크가 없는 상태로 분류돼 있습니다. recent/high-impact release부터 수동 큐레이션 여부를 다시 판단합니다.,,false,
510353ab-c5c1-5461-80ce-eaeb26f94a12:spotify,spotify,NMIXX,nmixx,group,core,tier_1,true,latest,latest,Blue Valentine,2025-10-13,2025,album,album,no_link,explicit_absence,no_link,,,7,canonical link가 explicit no_link 상태로 남아 있습니다.,현재 spotify canonical 링크가 없는 상태로 분류돼 있습니다. recent/high-impact release부터 수동 큐레이션 여부를 다시 판단합니다.,,false,
ee1e9da9-904f-5f37-aa38-11f9a05bce84:spotify,spotify,BABYMONSTER,babymonster,group,core,tier_1,true,latest,latest,WE GO UP,2025-10-10,2025,album,ep,no_link,explicit_absence,no_link,,,7,canonical link가 explicit no_link 상태로 남아 있습니다.,현재 spotify canonical 링크가 없는 상태로 분류돼 있습니다. recent/high-impact release부터 수동 큐레이션 여부를 다시 판단합니다.,,false,
d9a85b3d-ed19-51bb-a6c4-e5e538401b50:spotify,spotify,QWER,qwer,group,core,tier_1,true,latest,latest,흰수염고래,2025-10-06,2025,song,single,no_link,explicit_absence,no_link,,,7,canonical link가 explicit no_link 상태로 남아 있습니다.,현재 spotify canonical 링크가 없는 상태로 분류돼 있습니다. recent/high-impact release부터 수동 큐레이션 여부를 다시 판단합니다.,,false,
56da018b-291d-5863-89fc-7657620a8106:spotify,spotify,POW,pow,group,longtail,tier_1,true,latest,latest,Wall Flowers,2025-09-29,2025,song,single,no_link,explicit_absence,no_link,,,7,canonical link가 explicit no_link 상태로 남아 있습니다.,현재 spotify canonical 링크가 없는 상태로 분류돼 있습니다. recent/high-impact release부터 수동 큐레이션 여부를 다시 판단합니다.,,false,
407a7f93-b5b2-57c7-ad79-a6b510cbb440:spotify,spotify,UNIS,unis,group,core,tier_1,true,latest,latest,MoshiMoshi♡,2025-09-15,2025,song,single,no_link,explicit_absence,no_link,,,7,canonical link가 explicit no_link 상태로 남아 있습니다.,현재 spotify canonical 링크가 없는 상태로 분류돼 있습니다. recent/high-impact release부터 수동 큐레이션 여부를 다시 판단합니다.,,false,
907a20a1-9dba-5e0e-a90e-86d5568f015d:spotify,spotify,UNIS,unis,group,core,tier_1,true,latest,latest,もしもし♡,2025-09-12,2025,song,single,no_link,explicit_absence,no_link,,,7,canonical link가 explicit no_link 상태로 남아 있습니다.,현재 spotify canonical 링크가 없는 상태로 분류돼 있습니다. recent/high-impact release부터 수동 큐레이션 여부를 다시 판단합니다.,,false,
4d573fc1-0c4e-51ad-9909-7bd738e1ae1f:spotify,spotify,aespa,aespa,group,core,tier_1,true,latest,latest,Rich Man,2025-09-05,2025,album,ep,no_link,explicit_absence,no_link,,,7,canonical link가 explicit no_link 상태로 남아 있습니다.,현재 spotify canonical 링크가 없는 상태로 분류돼 있습니다. recent/high-impact release부터 수동 큐레이션 여부를 다시 판단합니다.,,false,
a7c48c10-c995-5525-993a-5273498b015a:spotify,spotify,DAY6,day6,group,core,tier_1,true,latest,latest,The DECADE,2025-09-05,2025,album,album,no_link,explicit_absence,no_link,,,7,canonical link가 explicit no_link 상태로 남아 있습니다.,현재 spotify canonical 링크가 없는 상태로 분류돼 있습니다. recent/high-impact release부터 수동 큐레이션 여부를 다시 판단합니다.,,false,
da1088fc-05d4-5ad3-9eea-daf3e549cde3:spotify,spotify,TREASURE,treasure,group,core,tier_1,true,latest,latest,LOVE PULSE,2025-09-01,2025,album,ep,no_link,explicit_absence,no_link,,,7,canonical link가 explicit no_link 상태로 남아 있습니다.,현재 spotify canonical 링크가 없는 상태로 분류돼 있습니다. recent/high-impact release부터 수동 큐레이션 여부를 다시 판단합니다.,,false,
