queue_key,service_type,group,slug,entity_type,entity_tier,priority_tier,high_impact,entity_cohort,release_cohort,release_title,release_date,release_year,stream,release_kind,gap_status,confidence_bucket,current_status,current_url,provenance,attempted_methods_count,review_reason,recommended_action,suggested_search_query,missing_mv_allowlist,mv_allowlist_urls
6a1db562-83b4-5e9d-a00f-6ea0ebfb6680:youtube_music,youtube_music,H1-KEY,h1-key,group,longtail,tier_1,true,latest,latest,LOVECHAPTER,2026-03-05,2026,album,ep,no_link,explicit_absence,no_link,,,7,canonical link가 explicit no_link 상태로 남아 있습니다.,현재 youtube_music canonical 링크가 없는 상태로 분류돼 있습니다. recent/high-impact release부터 수동 큐레이션 여부를 다시 판단합니다.,,false,
179b842f-9bd1-56ca-aaf6-b33e3f87159b:youtube_music,youtube_music,NCT WISH,nct-wish,unit,core,tier_1,true,latest,latest,Same Sky,2026-02-27,2026,song,single,no_link,explicit_absence,no_link,,,7,canonical link가 explicit no_link 상태로 남아 있습니다.,현재 youtube_music canonical 링크가 없는 상태로 분류돼 있습니다. recent/high-impact release부터 수동 큐레이션 여부를 다시 판단합니다.,,false,
2c209a92-9d0e-5a9b-8cf1-93ed8f92911a:youtube_music,youtube_music,RESCENE,rescene,group,core,tier_1,true,latest,latest,[RESCENE X ???],2026-02-27,2026,song,single,no_link,explicit_absence,no_link,,,7,canonical link가 explicit no_link 상태로 남아 있습니다.,현재 youtube_music canonical 링크가 없는 상태로 분류돼 있습니다. recent/high-impact release부터 수동 큐레이션 여부를 다시 판단합니다.,,false,
e5976e68-a795-52dd-b40e-a72493038dd3:youtube_music,youtube_music,AtHeart,atheart,group,core,tier_1,true,latest,latest,Shut Up,2026-02-26,2026,song,single,no_link,explicit_absence,no_link,,,7,canonical link가 explicit no_link 상태로 남아 있습니다.,현재 youtube_music canonical 링크가 없는 상태로 분류돼 있습니다. recent/high-impact release부터 수동 큐레이션 여부를 다시 판단합니다.,,false,
d5137bf0-b49d-59f6-815a-5b591cfb966b:youtube_music,youtube_music,NMIXX,nmixx,group,core,tier_1,true,latest,latest,TIC TIC,2026-02-26,2026,song,single,no_link,explicit_absence,no_link,,,7,canonical link가 explicit no_link 상태로 남아 있습니다.,현재 youtube_music canonical 링크가 없는 상태로 분류돼 있습니다. recent/high-impact release부터 수동 큐레이션 여부를 다시 판단합니다.,,false,
06aa603b-b554-52a8-b9e4-47c6a6764e53:youtube_music,youtube_music,Hearts2Hearts,hearts2hearts,group,core,tier_1,true,latest,latest,RUDE!,2026-02-20,2026,song,single,no_link,explicit_absence,no_link,,,7,canonical link가 explicit no_link 상태로 남아 있습니다.,현재 youtube_music canonical 링크가 없는 상태로 분류돼 있습니다. recent/high-impact release부터 수동 큐레이션 여부를 다시 판단합니다.,,false,
78bb2629-2cd8-5f57-aaf1-a029b271ae8f:youtube_music,youtube_music,IVE,ive,group,core,tier_1,true,latest,latest,BANG BANG,2026-02-09,2026,song,single,no_link,explicit_absence,no_link,,,7,canonical link가 explicit no_link 상태로 남아 있습니다.,현재 youtube_music canonical 링크가 없는 상태로 분류돼 있습니다. recent/high-impact release부터 수동 큐레이션 여부를 다시 판단합니다.,,false,
8efc3a3d-559e-50e7-b074-d2f148f2b7e3:youtube_music,youtube_music,RIIZE,riize,group,core,tier_1,true,latest,latest,All of You,2026-02-09,2026,song,single,no_link,explicit_absence,no_link,,,7,canonical link가 explicit no_link 상태로 남아 있습니다.,현재 youtube_music canonical 링크가 없는 상태로 분류돼 있습니다. recent/high-impact release부터 수동 큐레이션 여부를 다시 판단합니다.,,false,
48080244-9689-5f33-9e44-f5e854a5f0e8:youtube_music,youtube_music,MONSTA X,monsta-x,group,core,tier_1,true,latest,latest,growing pains,2026-02-06,2026,song,single,no_link,explicit_absence,no_link,,,7,canonical link가 explicit no_link 상태로 남아 있습니다.,현재 youtube_music canonical 링크가 없는 상태로 분류돼 있습니다. recent/high-impact release부터 수동 큐레이션 여부를 다시 판단합니다.,,false,
0f9b4a68-5b21-554f-bc5e-11c41291becf:youtube_music,youtube_music,tripleS,triples,group,core,tier_1,true,latest,latest,トキメティック,2026-02-05,2026,song,single,no_link,explicit_absence,no_link,,,7,canonical link가 explicit no_link 상태로 남아 있습니다.,현재 youtube_music canonical 링크가 없는 상태로 분류돼 있습니다. recent/high-impact release부터 수동 큐레이션 여부를 다시 판단합니다.,,false,
