queue_key,service_type,group,slug,entity_type,entity_tier,priority_tier,high_impact,entity_cohort,release_cohort,release_title,release_date,release_year,stream,release_kind,gap_status,confidence_bucket,current_status,current_url,provenance,attempted_methods_count,review_reason,recommended_action,suggested_search_query,missing_mv_allowlist,mv_allowlist_urls
179b842f-9bd1-56ca-aaf6-b33e3f87159b:youtube_mv,youtube_mv,NCT WISH,nct-wish,unit,core,tier_1,true,latest,latest,Same Sky,2026-02-27,2026,song,single,needs_review,review_needed,needs_review,,manual review seed,7,Current YouTube results surface audio and lyric uploads ahead of any clearly canonical MV object.,Review the suggested query against the allowlisted official channels and either add a manual override or keep the release in review.,NCT WISH Same Sky official mv,false,https://www.youtube.com/@SMTOWN
d9a85b3d-ed19-51bb-a6c4-e5e538401b50:youtube_mv,youtube_mv,QWER,qwer,group,core,tier_1,true,latest,latest,흰수염고래,2025-10-06,2025,song,single,needs_review,review_needed,needs_review,,manual review seed,7,Official YouTube search currently surfaces a special clip instead of a clearly canonical MV object.,Review the suggested query against the allowlisted official channels and either add a manual override or keep the release in review.,QWER 흰수염고래 official mv,false,https://www.youtube.com/channel/UCgD0APk2x9uBlLM0UsmhQjw
cbc23da6-08cd-5cc9-991c-a3638f493d45:youtube_mv,youtube_mv,YENA,yena,solo,unknown,tier_1,true,latest,latest,LOVE CATCHER,2026-03-11,2026,album,ep,unresolved,low_confidence_gap,unresolved,,,0,canonical link가 아직 unresolved 상태입니다.,allowlist 범위에서 공식 MV를 재검토하고 명확할 때만 manual override를 추가합니다.,,false,
6a1db562-83b4-5e9d-a00f-6ea0ebfb6680:youtube_mv,youtube_mv,H1-KEY,h1-key,group,longtail,tier_1,true,latest,latest,LOVECHAPTER,2026-03-05,2026,album,ep,unresolved,low_confidence_gap,unresolved,,releaseHistory.placeholder_seed,7,"No dependable title-track metadata is attached yet, so MV verification falls back to the release title.",allowlist 범위에서 공식 MV를 재검토하고 명확할 때만 manual override를 추가합니다.,H1-KEY LOVECHAPTER official mv,false,https://www.youtube.com/channel/UC-6L6QIx3M6O_ROf7CP-pJg
2c209a92-9d0e-5a9b-8cf1-93ed8f92911a:youtube_mv,youtube_mv,RESCENE,rescene,group,core,tier_1,true,latest,latest,[RESCENE X ???],2026-02-27,2026,song,single,unresolved,low_confidence_gap,unresolved,,releaseDetails.no_mv_signal,7,No official team or label YouTube source is registered yet for this release.,team/label YouTube allowlist를 먼저 보강한 뒤 canonical MV를 다시 검토합니다.,RESCENE Busy boy official mv,true,
d5137bf0-b49d-59f6-815a-5b591cfb966b:youtube_mv,youtube_mv,NMIXX,nmixx,group,core,tier_1,true,latest,latest,TIC TIC,2026-02-26,2026,song,single,unresolved,low_confidence_gap,unresolved,,releaseDetails.no_mv_signal,7,No canonical MV target is attached yet.,allowlist 범위에서 공식 MV를 재검토하고 명확할 때만 manual override를 추가합니다.,NMIXX TIC TIC official mv,false,https://www.youtube.com/channel/UCnUAyD4t2LkvW68YrDh7fDg | https://www.youtube.com/@JYPEntertainment
c339f501-52fe-599d-8d2d-bf5694ae4de4:youtube_mv,youtube_mv,IVE,ive,group,core,tier_1,true,latest,latest,REVIVE+,2026-02-23,2026,album,album,unresolved,low_confidence_gap,unresolved,,releaseDetails.no_mv_signal,7,No canonical MV target is attached yet.,allowlist 범위에서 공식 MV를 재검토하고 명확할 때만 manual override를 추가합니다.,IVE BLACKHOLE official mv,false,https://www.youtube.com/channel/UC-Fnix71vRP64WXeo0ikd0Q | https://www.youtube.com/@officialstarship
7c27ebee-3b8e-56c4-8b4c-b58f040b16b3:youtube_mv,youtube_mv,STAYC,stayc,group,core,tier_1,true,latest,latest,STAY ALIVE,2026-02-11,2026,album,album,unresolved,low_confidence_gap,unresolved,,releaseDetails.no_mv_signal,7,"No dependable title-track metadata is attached yet, so MV verification falls back to the release title.",allowlist 범위에서 공식 MV를 재검토하고 명확할 때만 manual override를 추가합니다.,STAYC STAY ALIVE official mv,false,https://www.youtube.com/channel/UCod5V2dpnpJLklGvVOv5FcQ
6a97ac23-629a-5468-9fd1-996c434052b2:youtube_mv,youtube_mv,ATEEZ,ateez,group,core,tier_1,true,latest,latest,GOLDEN HOUR : Part.4,2026-02-06,2026,album,ep,unresolved,low_confidence_gap,unresolved,,releaseDetails.no_mv_signal,7,No canonical MV target is attached yet.,allowlist 범위에서 공식 MV를 재검토하고 명확할 때만 manual override를 추가합니다.,ATEEZ Choose official mv,false,https://www.youtube.com/channel/UC2e4Ukj5Pfr7cb3KpJAFBdQ
48080244-9689-5f33-9e44-f5e854a5f0e8:youtube_mv,youtube_mv,MONSTA X,monsta-x,group,core,tier_1,true,latest,latest,growing pains,2026-02-06,2026,song,single,unresolved,low_confidence_gap,unresolved,,releaseDetails.no_mv_signal,7,No canonical MV target is attached yet.,allowlist 범위에서 공식 MV를 재검토하고 명확할 때만 manual override를 추가합니다.,MONSTA X growing pains official mv,false,https://www.youtube.com/channel/UCZvCP6sWj75MwpUP4LVtpNw | https://www.youtube.com/@officialstarship
