priority_score,priority_tier,group,release_title,release_date,stream,release_kind,detail_status,title_track_status,youtube_video_status,queue_reason,suggested_action
290,tier_1,TWICE,Breakthrough,2019-06-12,song,single,inferred,unresolved,unresolved,"detail=inferred, title=unresolved, mv=unresolved","Curate release-detail override with tracks, title-track, and canonical MV decision."
290,tier_1,TWICE,HAPPY HAPPY,2019-06-12,song,single,inferred,unresolved,unresolved,"detail=inferred, title=unresolved, mv=unresolved","Curate release-detail override with tracks, title-track, and canonical MV decision."
290,tier_1,TWICE,Fake & True,2019-10-18,song,single,inferred,unresolved,unresolved,"detail=inferred, title=unresolved, mv=unresolved","Curate release-detail override with tracks, title-track, and canonical MV decision."
280,tier_1,SHINee,산소 같은 너 (Love Like Oxygen),2008-08-25,song,single,inferred,unresolved,unresolved,"detail=inferred, title=unresolved, mv=unresolved","Curate release-detail override with tracks, title-track, and canonical MV decision."
280,tier_1,SHINee,보디가드,2009-04-03,song,single,inferred,unresolved,unresolved,"detail=inferred, title=unresolved, mv=unresolved","Curate release-detail override with tracks, title-track, and canonical MV decision."
280,tier_1,SHINee,SCAR,2009-08-12,song,single,inferred,unresolved,unresolved,"detail=inferred, title=unresolved, mv=unresolved","Curate release-detail override with tracks, title-track, and canonical MV decision."
280,tier_1,SHINee,Seaside 휴게소 (Boom Boom),2009-08-17,song,single,inferred,unresolved,unresolved,"detail=inferred, title=unresolved, mv=unresolved","Curate release-detail override with tracks, title-track, and canonical MV decision."
280,tier_1,SHINee,하루 (X-mas),2010-12-13,song,single,inferred,unresolved,unresolved,"detail=inferred, title=unresolved, mv=unresolved","Curate release-detail override with tracks, title-track, and canonical MV decision."
280,tier_1,SHINee,Replay -君は僕のeverything-,2011-06-22,song,single,inferred,unresolved,unresolved,"detail=inferred, title=unresolved, mv=unresolved","Curate release-detail override with tracks, title-track, and canonical MV decision."
280,tier_1,SHINee,JULIETTE,2011-08-29,song,single,inferred,unresolved,unresolved,"detail=inferred, title=unresolved, mv=unresolved","Curate release-detail override with tracks, title-track, and canonical MV decision."
280,tier_1,SHINee,LUCIFER,2011-10-12,song,single,inferred,unresolved,unresolved,"detail=inferred, title=unresolved, mv=unresolved","Curate release-detail override with tracks, title-track, and canonical MV decision."
280,tier_1,SHINee,Keeping love again,2012-05-11,song,single,inferred,unresolved,unresolved,"detail=inferred, title=unresolved, mv=unresolved","Curate release-detail override with tracks, title-track, and canonical MV decision."
280,tier_1,SHINee,sherlock,2012-05-16,song,single,inferred,unresolved,unresolved,"detail=inferred, title=unresolved, mv=unresolved","Curate release-detail override with tracks, title-track, and canonical MV decision."
280,tier_1,SHINee,Dazzling Girl,2012-10-03,song,single,inferred,unresolved,unresolved,"detail=inferred, title=unresolved, mv=unresolved","Curate release-detail override with tracks, title-track, and canonical MV decision."
280,tier_1,SHINee,Run With Me,2012-10-10,song,single,inferred,unresolved,unresolved,"detail=inferred, title=unresolved, mv=unresolved","Curate release-detail override with tracks, title-track, and canonical MV decision."
280,tier_1,SHINee,1000年、ずっとそばにいて…,2012-12-05,song,single,inferred,unresolved,unresolved,"detail=inferred, title=unresolved, mv=unresolved","Curate release-detail override with tracks, title-track, and canonical MV decision."
280,tier_1,SHINee,The Best 3,2013-01-30,song,single,inferred,unresolved,unresolved,"detail=inferred, title=unresolved, mv=unresolved","Curate release-detail override with tracks, title-track, and canonical MV decision."
280,tier_1,SHINee,Fire,2013-03-13,song,single,inferred,unresolved,unresolved,"detail=inferred, title=unresolved, mv=unresolved","Curate release-detail override with tracks, title-track, and canonical MV decision."
