group,headline,scheduled_date,date_status,confidence,source_type,source_url,evidence_summary,tracking_status,review_reason,recommended_action
&TEAM,&TEAM sets April comeback with Japanese mini album ‘We on Fire’ - allkpop,,scheduled,0.76,news_rss,https://news.google.com/rss/articles/CBMiogFBVV95cUxNdzN5MmFQbjJLQVdlcktGS1V1MkZnLUxhVDBjQnNlbmtXSkxOZTJCMjVkNXptekllbE5mY2VSanJqZXV5SGJ1T3BPM1huZWlhbWhYeGFsOW55UlFSMDlCY29BYjNDZWxWUGV1RjdNb09MRFFHbWdRdkRKanBTS3lNVS05Xy0yZzVVOGRLZF9Dc1RhT2hVRUFfMFlTX0RELUYtcHc?oc=5,Future month reference: 2026-04. &TEAM sets April comeback with Japanese mini album ‘We on Fire’ allkpop,recent_release,inexact_date,Keep the candidate in review until an exact date appears.
AB6IX,AB6IX Unveils 'So Sweet' Ahead of March Album - 조선일보,,scheduled,0.46,news_rss,https://news.google.com/rss/articles/CBMijgFBVV95cUxNbHNMekRwTExfSmdJZlZ5ZXJwSkhsUFZObjJzZFREVjFHWG1TNHFWNmt4aVhqV1lvNVo5MVI4cXF5Z3FPWGtVUkxBUHNMQ05RWUhwYzl2R2FzWFZTcFZJQ0czOTI0MFVQZ2RLUFZaVkgtUnVITlZFMjZyakdNcjBUT0o1ZzJRVUFXVXdmZGdR?oc=5,Future month reference: 2026-03. AB6IX Unveils 'So Sweet' Ahead of March Album 조선일보,filtered_out,low_confidence ; inexact_date,Review the evidence and confidence score manually.
AB6IX,AB6IX begins the countdown for their March comeback with the full album ‘SEVEN : CRIMSON HORIZON’ - allkpop,,scheduled,0.58,news_rss,https://news.google.com/rss/articles/CBMizgFBVV95cUxPVmxkNlRtVUNEN2NvXzlKemx1eks1MmpKM1pYWHhXN0FOU0FzVUk4eEJBYkJ6bURfcVdhTktZcVZETVpsUWk5WVI5enBTbWhxdHYwMzdWLWp4aWQzaElURkxfSkZfSzNseERlcHU1eXA0Tm1IdzB4VUtCZVF1ZlRDNllGanktbXduODgzY3czb083djJrM2l2TzBoTjhfcVVteUxtTlFDS3BZMU40amVRaTRLOTY1Zy10eXljcVd1OURINmxNVHk3dE1GeWI2dw?oc=5,Future month reference: 2026-03. AB6IX begins the countdown for their March comeback with the full album ‘SEVEN : CRIMSON HORIZON’ allkpop,filtered_out,low_confidence ; inexact_date,Review the evidence and confidence score manually.
AB6IX,AB6IX announces March comeback with their first full album in 5 years - allkpop,,scheduled,0.76,news_rss,https://news.google.com/rss/articles/CBMirgFBVV95cUxNTTRFb2pHMTZWckFqWVRGMTVDTm51S2xhRGhZY3F6UXhzbXJaQUMzVTFMM094SGphU0I1VWd5VGVtbTZYeHVMRGx0QVRJU01xS2Y3ZUp4UmUtandjVk1LaUJGSWxWTnZVSExjRUY2eFJLeVZFSjZGNGdvVnpWZFNmVEw3MFZxMXh2cHNkeURSRWliMHNfMnlQTHk4bGhZNkx6ajdFYXBGejV5R2dHbkE?oc=5,Future month reference: 2026-03. AB6IX announces March comeback with their first full album in 5 years allkpop,filtered_out,inexact_date,Keep the candidate in review until an exact date appears.
ALL(H)OURS,ALL(H)OURS Sets March Comeback With 5th Mini-Album ‘NO DOUBT’ - hellokpop,,scheduled,0.76,news_rss,https://news.google.com/rss/articles/CBMikwFBVV95cUxOSE5EeC1kOFlYeXdfbjBKQkpEejdVY0xacGVqYjJmc3JLNFhIUVN1SEVhQWNXellSRnZxX2RGMGZ1N0ZPaXVuZm9XaVZhRk1tb2lQMndGUjJGQ3lxMGVkTTdHdnZVcWZKWlF5NTJjcXJaZjVRUkxVRWhLSlQ3NGFsSk5PSHNiNTZDMlctZ2RxTlV2WjQ?oc=5,Future month reference: 2026-03. ALL(H)OURS Sets March Comeback With 5th Mini-Album ‘NO DOUBT’ hellokpop,recent_release,inexact_date,Keep the candidate in review until an exact date appears.
ATEEZ,ATEEZ’s ‘GOLDEN HOUR: Part 4’ Drops Feb. 6 - 조선일보,,rumor,0.68,news_rss,https://news.google.com/rss/articles/CBMijgFBVV95cUxOZ1QwQUN0VU5HMU51RFhteEs0eXpiTTV3QzRsQXozM01IbGNRb3ZOdFkyTVUzRGxYdmlWVGtkZ2hyekhyYVJMb3ZadlpoQXpscWFwVG1STGlQeGdDZTc0elNEMzFCQk54MENBNnJ4Z0hsS2FjcnZCZjZFbTZoZkhkOGNtVGRwU0x1cVotN3F3?oc=5,ATEEZ’s ‘GOLDEN HOUR: Part 4’ Drops Feb. 6 조선일보,recent_release,inexact_date ; missing_source_link,Confirm an official source and exact date before promoting the candidate.
AtHeart,Rookie group AtHeart drops bold new teaser photos for 'The New Black' - allkpop,,rumor,0.68,news_rss,https://news.google.com/rss/articles/CBMiqwFBVV95cUxPTW5XcDBtTWd4YVhwaEVqTktleVBXYlRLZnBGM1RVQ2xVeXVlMkVmckpWQ1RKazl5ZXhBOWRQcXltVVlNcjdSY3hkMjJ4cGFKUGpEbDhVQ0hPcjdScFV2UTUzM1ZmeGFaSDRoWWhMOHBYOFVhX1RiS0hkVEJfeWVGODRQSTlTMjRoTGZMZXBWS09IZ1pFb2VCWVJHZTBSSHNlTnBNNUxuZ2E1VGc?oc=5,Rookie group AtHeart drops bold new teaser photos for 'The New Black' allkpop,recent_release,inexact_date ; missing_source_link,Confirm an official source and exact date before promoting the candidate.
BABYMONSTER,YG Entertainment confirms BABYMONSTER World Tour & BIGBANG's Global - bandwagon.asia,,rumor,0.56,news_rss,https://news.google.com/rss/articles/CBMi2gFBVV95cUxOZWI5YWpSUmd6bk1rYS1VM1o3bXU4aFNhaTRfLUhvYjBKSUN5S1ZSc0NPalNBZVlMaDI0UE9EVVktaWlPZ0RHWEd1SFN4MVcwM1IzaEY2VkpxcUViUDZEQVFaV3BSbmFHbXhmejZFTXpLQ2hMV3BzS1Foc0ZoNHdJZ0xkaGJnZXZYczNrY3d2b3dJb2EzNVROZy1DRlIyUFBPTU9UU2FKVTlvVVV5cTIyRjZfdl9WSFNCWXo2dUwzQzE5ZnluSGQ5X29BVGRZZXZVTUE4N1U3a29nQQ?oc=5,YG Entertainment confirms BABYMONSTER World Tour & BIGBANG's Global bandwagon.asia,recent_release,low_confidence ; inexact_date ; missing_source_link,Confirm an official source and exact date before promoting the candidate.
BABYMONSTER,BIGBANG Returns for 20th Anniversary… Global Tour with YG confirmed,,rumor,0.64,agency_notice,https://www.ygfamily.com/en/news/report/7385,"BIGBANG Returns for 20th Anniversary… Global Tour with YG confirmed YG Entertainment has announced the return of one of its flagship IPs, BIGBANG, along with up...",recent_release,inexact_date,Keep the candidate in review until an exact date appears.
BABYMONSTER,YG to Launch First New Boy Group in 6 Years Since TREASURE… Rookie Girl Group Project Also in Full Swing,,rumor,0.64,agency_notice,https://www.ygfamily.com/en/news/report/7389,YG to Launch First New Boy Group in 6 Years Since TREASURE… Rookie Girl Group Project Also in Full Swing YG has raised the expectations among global music fans...,recent_release,inexact_date,Keep the candidate in review until an exact date appears.
