group,release_title,release_date,stream,release_kind,track_titles,candidate_titles,candidate_sources,review_reason,recommended_action
&TEAM,First Howling : NOW,2023-11-15,album,album,War Cry ; Dropkick ; Really Crazy ; ALIEN ; FIREWORK ; Road Not Taken ; The moon is beautiful ; Blind Love ; Under the skin ; Scent of you ; BUZZ LOVE ; War Cry (Korean ver.) ; Road Not Taken (Korean ver.) ; FIREWORK (Korean ver.) ; Scent of you (Korean ver.) ; The Final Countdown (&TEAM ver.) ; Melody (&TEAM ver.) ; Running with the pack (&TEAM ver.),,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
(G)I-DLE,I feel,2023-05-15,album,ep,퀸카 ; Allergy ; Lucid ; All Night ; Paradise ; 어린 어른,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
(G)I-DLE,I SWAY,2024-07-08,album,ep,클락션 (Klaxon) ; Last Forever ; Bloom ; Neverland,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
(G)I-DLE,We are,2025-05-19,album,ep,Good Thing ; Girlfriend ; Love Tease ; Chain ; Unstoppable ; 그래도 돼요,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
82MAJOR,BEAT by 82,2024-04-29,album,ep,Choke ; Birthday ; Illegal ; 82,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
82MAJOR,X-82,2024-11-15,album,ep,Stuck ; Thorns ; Face Time ; Gossip,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
82MAJOR,SILENCE SYNDROME,2025-04-14,album,ep,TAKEOVER ; Heroes ; Passport ; Promise You,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
8TURN,UNCHARTED DRIFT,2023-06-26,album,ep,WORLD ; EXCEL ; WALK IT OUT ; SKETCH ; ING,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
8TURN,STUNNING,2024-01-09,album,ep,THE GAME ; RU‐PUM PUM ; NOM ; WE HERE ; GLOW,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
8TURN,"로드 투 킹덤 : ACE OF ACE 〈NO LIMIT〉, Pt. 2",2024-10-31,album,ep,Armageddon ; Love Dive ; 월하미인 (LUNA) ; Armageddon (inst.) ; Love Dive (inst.) ; 월하미인 (LUNA) (inst.),,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
AB6IX,THE FUTURE IS OURS: LOST,2023-05-29,album,ep,BLAZE ; LOSER ; REALITY ; EDEN ; SUCKER,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
AB6IX,THE FUTURE IS OURS: FOUND,2024-01-22,album,ep,WHISTLE ; GRAB ME ; TRAVELER ; ALL NIGHT ; ILY (I LOVE YOU),,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
AB6IX,Find YOU,2024-08-13,album,ep,KILL ME ; F_ix YoU ; Just do it! ; Top Tier (rock version),,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
AB6IX,BORN LIKE THIS,2024-10-10,album,ep,In My Vein ; NVKED ; Forever Young ; Hurt Me ; Butterfly Effect,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
aespa,SYNK : PARALLEL LINE,2024-10-09,song,single,UP ; Dopamine ; Bored! ; Spark,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
aespa,SYNK : aeXIS LINE,2025-11-17,song,single,BLUE ; Ketchup and Lemonade ; Tornado ; GOOD STUFF,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
AMPERS&ONE,AMPERSAND ONE,2023-11-15,song,single,On and On ; Sweet & Sour ; Sheesh,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
AMPERS&ONE,ONE HEARTED,2024-03-26,song,single,Broken Heart ; Crazy Stupid Fun ; Someday,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
AMPERS&ONE,ONE QUESTION,2024-10-22,album,ep,He + She = We ; Calling You Back ; Slide ; Whip It ; Over The Moon ; Fly,,,No dependable title-track signal was found for this release detail row.,"Confirm the promoted track(s) from a dependable source, then add explicit title_tracks to release_detail_overrides.json."
