group,tier,watch_reason,tracking_status,latest_release_title,latest_release_date,latest_release_kind,x_url,instagram_url,search_terms
&TEAM,core,recent_release,recent_release,Back to Life,2025-10-28,ep,https://x.com/andTEAMofficial,https://www.instagram.com/andteam_official/,"""&TEAM"" kpop comeback"
(G)I-DLE,core,recent_release,recent_release,Mono,2026-01-27,single,https://x.com/official_i_dle,https://www.instagram.com/i_dle_official/,"""i-dle"" kpop comeback"
82MAJOR,longtail,recent_release,recent_release,Trophy,2025-10-30,ep,https://x.com/82MAJOR_231011,https://www.instagram.com/82major_official/,"""82MAJOR"" kpop comeback"
8TURN,longtail,recent_release,recent_release,BRUISE,2026-01-28,single,https://x.com/8TURN_official,https://www.instagram.com/8turn.official/,"""8TURN"" kpop comeback"
AB6IX,longtail,long_gap,watch_only,BORN LIKE THIS,2024-10-10,ep,https://x.com/AB6IX,https://www.instagram.com/ab6ix_official/,"""AB6IX"" kpop comeback"
aespa,core,recent_release,recent_release,SYNK : aeXIS LINE,2025-11-17,single,https://x.com/aespa_official,https://www.instagram.com/aespa_official/,"""aespa"" kpop comeback"
ALL(H)OURS,longtail,recent_release,recent_release,VCF,2025-09-09,ep,https://x.com/ALL_H_OURS,https://www.instagram.com/all_h_ours/,"""ALL(H)OURS"" kpop comeback"
ALLDAY PROJECT,manual,recent_release,recent_release,ALLDAY PROJECT,2025-12-08,ep,,,"""ALLDAY PROJECT"" kpop comeback ; ""ALLDAY PROJECT"" teaser ; ""ALLDAY PROJECT"" 컴백"
AMPERS&ONE,longtail,recent_release,recent_release,LOUD & PROUD,2025-08-12,ep,https://x.com/_AMPERSANDONE_,https://www.instagram.com/ampersandone_official/,"""AMPERS&ONE"" kpop comeback"
ARTMS,longtail,recent_release,recent_release,<Club Icarus>,2025-06-13,ep,https://x.com/official_artms,https://www.instagram.com/official_artms/,"""ARTMS"" kpop comeback"
ATBO,longtail,long_gap,watch_only,MUST HAVE,2023-11-27,ep,https://x.com/ATBO_ground,https://www.instagram.com/atboground/,"""ATBO"" kpop comeback"
ATEEZ,core,recent_release,recent_release,GOLDEN HOUR : Part.4,2026-02-06,ep,https://x.com/ATEEZofficial,https://www.instagram.com/ateez_official_/,"""ATEEZ"" kpop comeback"
AtHeart,core,recent_release,recent_release,Shut Up,2026-02-26,single,https://x.com/atheartofficial,https://www.instagram.com/atheart__official/,"""AtHeart"" kpop comeback"
